Q 0 1 2
Q 1 0 1
Q 2 0 2
Q 3 1 6
Q 4 0 7
Q 5 1 7
Q 6 0 5
Q 7 0 0
Q 8 1 3
Q 9 1 5
Q 10 1 4
Q 11 0 3
Q 12 1 1
Q 13 0 4
Q 14 0 6
Q 15 1 0
G 0 1 1
G 1 1 0
G 2 1 1
G 3 1 0
G 4 3 1
G 5 1 1
G 6 3 7
G 7 1 1
G 8 1 0
G 9 5 59
G 10 1 1
G 11 3 1
G 12 3 1
G 13 1 1
G 14 1 1
G 15 82 7
G 16 65 7
G 17 2 1
G 18 3 1
G 19 1 1
G 20 2 111
G 21 5 0
G 22 6 1
G 23 73 0
G 24 11 1
G 25 13 0
G 26 65 1
G 27 143 59
G 28 123 7
G 29 11 59
G 30 114 59
G 31 74 7
G 32 1 0
G 33 67 1
G 34 90 0
G 35 3 1
G 36 91 7
G 37 99 1
G 38 11 1
G 39 101 0
G 40 13 1
G 41 69 1
G 42 99 7
G 43 118 0
G 44 114 1
G 45 102 1
G 46 14 0
G 47 99 0
G 48 83 59
G 49 234 0
G 50 15 1
G 51 175 7
G 52 115 7
G 53 15 0
G 54 219 7
G 55 116 0
G 56 3 0
G 57 232 0
G 58 131 1
G 59 133 1
G 60 118 1
G 61 213 1
G 62 215 0
G 63 203 7
G 64 216 1
G 65 120 1
G 66 135 7
G 67 183 7
G 68 117 1
G 69 123 1
G 70 218 0
G 71 144 1
G 72 230 1
G 73 232 1
G 74 122 59
G 75 197 1
G 76 232 1
G 77 233 1
G 78 228 0
G 79 199 1
G 80 146 1
G 81 234 0
G 82 4 1
G 83 234 0
G 84 229 0
G 85 229 1
G 86 231 1
G 87 125 0
G 88 191 0
G 89 230 1
G 90 148 59
G 91 232 0
G 92 192 1
G 93 208 1
G 94 192 1
G 95 225 0
G 96 226 0
G 97 194 7
G 98 233 1
G 99 234 0
G 100 202 7
G 101 210 0
G 102 211 7
G 103 233 1
G 104 231 1
G 105 227 7
G 106 233 1
G 107 234 0
G 108 233 1
R 6 1 1
R 9 1 5
R 15 1 5
R 16 1 5
R 20 0 5
R 27 0 6
R 28 1 3
R 29 0 0
R 30 0 5
R 31 1 6
R 36 1 5
R 42 0 0
R 48 1 6
R 51 1 5
R 52 1 4
R 54 1 2
R 63 1 6
R 66 1 2
R 67 0 1
R 74 0 0
R 90 1 4
R 97 1 1
R 100 0 1
R 102 1 2
R 105 1 4
